label,Facelandmark_pts,eye_side,eyelid
009_1_2.pts,68,left,109.27740868300376
009_1_2.pts,68,right,99.7126278072252
009_2_1.pts,68,left,105.0243885534583
009_2_1.pts,68,right,94.82486133466739
009_2_2.pts,68,left,104.41775148465472
009_2_2.pts,68,right,97.98019571959432
009_3_1.pts,68,left,103.28480063464754
009_3_1.pts,68,right,89.21397246383422
009_3_2.pts,68,left,102.21585440366981
009_3_2.pts,68,right,93.56271469655465
009_4_1.pts,68,left,107.70597390633031
009_4_1.pts,68,right,88.7377739550637
009_4_2.pts,68,left,106.94472213939416
009_4_2.pts,68,right,98.704061720574
010_1_1.pts,68,left,95.49489300713647
010_1_1.pts,68,right,91.09154651121898
010_1_2.pts,68,left,97.69634505346428
010_1_2.pts,68,right,93.318553530516
010_2_1.pts,68,left,93.98966831061209
010_2_1.pts,68,right,91.18910011694867
010_2_2.pts,68,left,96.8971176942041
010_2_2.pts,68,right,92.71247497939828
010_3_1.pts,68,left,93.59337206620043
010_3_1.pts,68,right,88.8957177874415
010_3_2.pts,68,left,94.53127210082381
010_3_2.pts,68,right,91.40808860285715
010_4_1.pts,68,left,97.33550072758084
010_4_1.pts,68,right,93.95078729387475
010_4_2.pts,68,left,98.53510688257819
010_4_2.pts,68,right,94.58012010665288
011_1_1.pts,68,left,120.07340010385313
011_1_1.pts,68,right,111.77245239187712
011_1_2.pts,68,left,118.43654727802095
011_1_2.pts,68,right,109.29777266016094
011_2_1.pts,68,left,106.11639429837828
011_2_1.pts,68,right,100.76933566428941
011_2_2.pts,68,left,107.75399844836899
011_2_2.pts,68,right,102.58988693715274
011_3_1.pts,68,left,109.15304045709297
011_3_1.pts,68,right,102.2951807056966
011_3_2.pts,68,left,108.85555204158301
011_3_2.pts,68,right,102.53914423837806
011_4_1.pts,68,left,109.49870744670912
011_4_1.pts,68,right,102.38073356621136
011_4_2.pts,68,left,108.76433333652578
011_4_2.pts,68,right,103.78455277547596
012_1_1.pts,68,left,97.1435212356211
012_1_1.pts,68,right,88.90215128708762
012_1_2.pts,68,left,96.13096608504696
012_1_2.pts,68,right,89.38936430598311
012_2_1.pts,68,left,97.62321837113794
012_2_1.pts,68,right,91.12104812357515
012_2_2.pts,68,left,95.88570531511867
012_2_2.pts,68,right,90.96147410931124
012_3_1.pts,68,left,94.01610379979833
012_3_1.pts,68,right,81.7447171109886
012_3_2.pts,68,left,95.15714067924694
012_3_2.pts,68,right,88.53254541331737
012_4_1.pts,68,left,99.69469213456429
012_4_1.pts,68,right,89.81727443429557
012_4_2.pts,68,left,98.55449749095398
012_4_2.pts,68,right,91.75265164954206
013_1_1.pts,68,left,119.36921330640028
013_1_1.pts,68,right,112.5849008037934
013_1_2.pts,68,left,117.07959610749619
013_1_2.pts,68,right,109.81192754900432
013_2_1.pts,68,left,101.92918258131205
013_2_1.pts,68,right,94.9550144474857
013_2_2.pts,68,left,102.32223544504987
013_2_2.pts,68,right,94.82229866117409
013_3_1.pts,68,left,101.37478659848757
013_3_1.pts,68,right,89.15286026336395
013_3_2.pts,68,left,101.55078075428845
013_3_2.pts,68,right,93.20344217549643
013_4_1.pts,68,left,103.7588406881286
013_4_1.pts,68,right,95.50153432071716
013_4_2.pts,68,left,101.37118301020703
013_4_2.pts,68,right,92.09068664365579
016_1_1.pts,68,left,107.33373832765204
016_1_1.pts,68,right,102.90895499447825
016_1_2.pts,68,left,107.44985897320257
016_1_2.pts,68,right,102.78922457820612
016_2_1.pts,68,left,101.58950522801175
016_2_1.pts,68,right,95.72157667089023
016_2_2.pts,68,left,101.45736926153873
016_2_2.pts,68,right,97.38492969268911
016_3_1.pts,68,left,101.23130647981931
016_3_1.pts,68,right,94.43123010629951
016_3_2.pts,68,left,101.51904857395542
016_3_2.pts,68,right,93.20972649010996
016_4_1.pts,68,left,105.3140602965192
016_4_1.pts,68,right,93.84610974859027
016_4_2.pts,68,left,103.76786063265344
016_4_2.pts,68,right,95.40764610883019
017_1_1.pts,68,left,101.5877251432366
017_1_1.pts,68,right,98.25091778395198
017_1_2.pts,68,left,102.06232984812657
017_1_2.pts,68,right,98.11414111239124
017_2_1.pts,68,left,100.0115057793352
017_2_1.pts,68,right,93.36697424217456
017_2_2.pts,68,left,99.7330384901224
017_2_2.pts,68,right,93.22991208491578
017_3_1.pts,68,left,98.93143420290865
017_3_1.pts,68,right,91.2894910772258
017_3_2.pts,68,left,98.90779076212573
017_3_2.pts,68,right,91.91673293107314
017_4_1.pts,68,left,103.30111412825568
017_4_1.pts,68,right,95.42670925695337
017_4_2.pts,68,left,101.95629805842198
017_4_2.pts,68,right,97.40956898951055
018_1_1.pts,68,left,105.08960179995076
018_1_1.pts,68,right,96.73452985433323
018_1_2.pts,68,left,103.83778978625476
018_1_2.pts,68,right,97.60121469602157
018_2_1.pts,68,left,107.38942898654199
018_2_1.pts,68,right,95.48663398626942
018_2_2.pts,68,left,104.25908572784226
018_2_2.pts,68,right,98.09498422518294
018_3_1.pts,68,left,105.10844863031815
018_3_1.pts,68,right,96.98431401234147
018_3_2.pts,68,left,99.85325280992215
018_3_2.pts,68,right,96.96319627827866
018_4_1.pts,68,left,110.08222190531541
018_4_1.pts,68,right,99.81901419012759
018_4_2.pts,68,left,105.51183249495973
018_4_2.pts,68,right,102.53887860939489
019_1_1.pts,68,left,105.58120245284618
019_1_1.pts,68,right,97.82688767097154
019_1_2.pts,68,left,102.58490937443538
019_1_2.pts,68,right,95.42737260724628
019_2_1.pts,68,left,102.93563902008003
019_2_1.pts,68,right,96.60455376559639
019_2_2.pts,68,left,102.76430663632411
019_2_2.pts,68,right,96.09122418595551
019_3_1.pts,68,left,102.14172877115948
019_3_1.pts,68,right,94.97375419103369
019_3_2.pts,68,left,100.70556514813643
019_3_2.pts,68,right,93.45014524987226
019_4_1.pts,68,left,101.03312144553283
019_4_1.pts,68,right,93.63753565759718
019_4_2.pts,68,left,99.8769566773983
019_4_2.pts,68,right,92.38422215730945
020_1_1.pts,68,left,112.16431685800178
020_1_1.pts,68,right,98.94965195885118
020_1_2.pts,68,left,110.41639151890246
020_1_2.pts,68,right,95.93322844924195
020_2_1.pts,68,left,110.85444462158979
020_2_1.pts,68,right,97.83789704517486
020_2_2.pts,68,left,110.56210702800588
020_2_2.pts,68,right,98.00407702417854
020_3_1.pts,68,left,105.403077153189
020_3_1.pts,68,right,86.40284743973679
020_3_2.pts,68,left,105.68076354193111
020_3_2.pts,68,right,94.27638297167658
020_4_1.pts,68,left,111.57219337471336
020_4_1.pts,68,right,98.58150514915167
020_4_2.pts,68,left,111.73734729986705
020_4_2.pts,68,right,99.1868103945782
021_1_1.pts,68,left,107.35110677287454
021_1_1.pts,68,right,104.27777616712542
021_1_2.pts,68,left,107.96138608188684
021_1_2.pts,68,right,105.30525962713774
021_2_1.pts,68,left,105.293909401916
021_2_1.pts,68,right,100.3433627282398
021_2_2.pts,68,left,106.56164671538465
021_2_2.pts,68,right,101.53335334605295
021_3_1.pts,68,left,103.6947863791725
021_3_1.pts,68,right,98.60899480791689
021_3_2.pts,68,left,104.19178075882205
021_3_2.pts,68,right,98.6821840537141
021_4_1.pts,68,left,107.33759144568656
021_4_1.pts,68,right,103.63792928655779
021_4_2.pts,68,left,108.51176200506768
021_4_2.pts,68,right,103.9885637649107
022_1_1.pts,68,left,110.57262285685573
022_1_1.pts,68,right,94.89965543696955
022_1_2.pts,68,left,106.34745403445775
022_1_2.pts,68,right,94.19191950775587
022_2_1.pts,68,left,99.38237158962242
022_2_1.pts,68,right,88.14891487641178
022_2_2.pts,68,left,100.42567033286642
022_2_2.pts,68,right,90.39054370787667
022_3_1.pts,68,left,100.84967919080803
022_3_1.pts,68,right,89.23914353158034
022_3_2.pts,68,left,101.22750538446117
022_3_2.pts,68,right,91.16986158600393
022_4_1.pts,68,left,105.11658151917703
022_4_1.pts,68,right,94.52802626881497
022_4_2.pts,68,left,104.5306091185469
022_4_2.pts,68,right,94.08774877814268
023_1_1.pts,68,left,108.90222799501296
023_1_1.pts,68,right,103.53690945490031
023_1_2.pts,68,left,107.77895914658957
023_1_2.pts,68,right,99.59820211702848
023_2_1.pts,68,left,111.6535957430889
023_2_1.pts,68,right,102.13571546422386
023_2_2.pts,68,left,110.19380328325082
023_2_2.pts,68,right,101.50717169148963
023_3_1.pts,68,left,103.34495752360415
023_3_1.pts,68,right,93.17725515039123
023_3_2.pts,68,left,103.4067169289683
023_3_2.pts,68,right,94.80926321846287
023_4_1.pts,68,left,106.31148626376695
023_4_1.pts,68,right,96.94521182978676
023_4_2.pts,68,left,106.48632439647925
023_4_2.pts,68,right,97.71298570658072
024_1_1.pts,68,left,100.5901605947233
024_1_1.pts,68,right,95.05116662166164
024_1_2.pts,68,left,101.53943946100726
024_1_2.pts,68,right,95.4154035842164
024_2_1.pts,68,left,96.27335518921568
024_2_1.pts,68,right,92.14392095897833
024_2_2.pts,68,left,99.04143237456515
024_2_2.pts,68,right,92.81089883093236
024_3_1.pts,68,left,98.11575862059294
024_3_1.pts,68,right,88.72149477281266
024_3_2.pts,68,left,97.59292303477858
024_3_2.pts,68,right,90.73603851481015
024_4_1.pts,68,left,102.3459237457023
024_4_1.pts,68,right,95.03633476568025
024_4_2.pts,68,left,101.79280865916915
024_4_2.pts,68,right,91.95148455843437
025_1_1.pts,68,left,104.79781266920611
025_1_1.pts,68,right,103.55575244778915
025_1_2.pts,68,left,108.75611784950054
025_1_2.pts,68,right,101.28826931365523
025_2_1.pts,68,left,107.13434958356923
025_2_1.pts,68,right,100.79403572880688
025_2_2.pts,68,left,104.23638926471146
025_2_2.pts,68,right,99.85207407237745
025_3_1.pts,68,left,105.75875905542978
025_3_1.pts,68,right,97.06164898918622
025_3_2.pts,68,left,103.93079491300932
025_3_2.pts,68,right,100.21223834068374
025_4_1.pts,68,left,110.04520738743899
025_4_1.pts,68,right,102.10120928179823
025_4_2.pts,68,left,111.21763511254761
025_4_2.pts,68,right,105.44983711396195
026_1_1.pts,68,left,99.74049233246355
026_1_1.pts,68,right,94.3809083573638
026_1_2.pts,68,left,101.70988763813037
026_1_2.pts,68,right,93.53198508917804
026_2_1.pts,68,left,96.80534503909837
026_2_1.pts,68,right,89.63943190747278
026_2_2.pts,68,left,97.95369036721154
026_2_2.pts,68,right,89.76245969238907
026_3_1.pts,68,left,97.32482513855344
026_3_1.pts,68,right,90.07756990952608
026_3_2.pts,68,left,96.25875378562256
026_3_2.pts,68,right,88.83327413772258
026_4_1.pts,68,left,101.93407562311484
026_4_1.pts,68,right,91.93553865647142
026_4_2.pts,68,left,102.04030715604495
026_4_2.pts,68,right,93.54243499268726
027_1_1.pts,68,left,118.67526741830228
027_1_1.pts,68,right,115.86956866391243
027_1_2.pts,68,left,120.26433112685113
027_1_2.pts,68,right,112.08031206237784
027_2_1.pts,68,left,121.01224269240056
027_2_1.pts,68,right,111.26598562803359
027_2_2.pts,68,left,119.69943306802061
027_2_2.pts,68,right,111.56878779977447
027_3_1.pts,68,left,115.5734965975235
027_3_1.pts,68,right,106.34566850971306
027_3_2.pts,68,left,113.6419767403068
027_3_2.pts,68,right,104.81458928892276
027_4_1.pts,68,left,122.39779753612578
027_4_1.pts,68,right,113.248246866612
027_4_2.pts,68,left,120.56452727401026
027_4_2.pts,68,right,111.10447564742338
028_1_1.pts,68,left,98.49731517660774
028_1_1.pts,68,right,88.53030570391013
028_1_2.pts,68,left,97.3039132570673
028_1_2.pts,68,right,86.97186791460534
028_2_1.pts,68,left,96.81143187919493
028_2_1.pts,68,right,87.50987277952633
028_2_2.pts,68,left,96.57460925985902
028_2_2.pts,68,right,86.62097443347973
028_3_1.pts,68,left,104.06763364768013
028_3_1.pts,68,right,92.28389772297466
028_3_2.pts,68,left,102.00211513670256
028_3_2.pts,68,right,91.15975209914616
028_4_1.pts,68,left,100.85228577658073
028_4_1.pts,68,right,89.99273135293265
028_4_2.pts,68,left,102.08042052783134
028_4_2.pts,68,right,91.08982212156802
029_1_1.pts,68,left,97.31101739511425
029_1_1.pts,68,right,92.07905881255274
029_1_2.pts,68,left,98.20663572539283
029_1_2.pts,68,right,91.09595125363998
029_2_1.pts,68,left,95.97482943358406
029_2_1.pts,68,right,90.1472463513014
029_2_2.pts,68,left,95.99543690616525
029_2_2.pts,68,right,91.00440197304863
029_3_1.pts,68,left,89.07894573853514
029_3_1.pts,68,right,82.2780795488689
029_3_2.pts,68,left,88.34342363312744
029_3_2.pts,68,right,82.41161474405307
029_4_1.pts,68,left,102.0228348231959
029_4_1.pts,68,right,94.68476624539156
029_4_2.pts,68,left,103.22865555917873
029_4_2.pts,68,right,96.29762701876113
030_1_1.pts,68,left,103.79569036346246
030_1_1.pts,68,right,90.52507578719704
030_1_2.pts,68,left,105.9949659843701
030_1_2.pts,68,right,98.47298131777626
030_2_1.pts,68,left,104.18058186656268
030_2_1.pts,68,right,94.09277584517312
030_2_2.pts,68,left,102.01812837609361
030_2_2.pts,68,right,96.25316002720231
030_3_1.pts,68,left,101.4078949365986
030_3_1.pts,68,right,86.01939499968083
030_3_2.pts,68,left,102.75907163117031
030_3_2.pts,68,right,92.88441406587603
030_4_1.pts,68,left,108.24612952716187
030_4_1.pts,68,right,98.5268717417853
030_4_2.pts,68,left,105.53808448151678
030_4_2.pts,68,right,100.04697870306283
031_1_1.pts,68,left,105.09675103353838
031_1_1.pts,68,right,95.56137327582258
031_1_2.pts,68,left,103.9581161126655
031_1_2.pts,68,right,94.82504687127174
031_2_1.pts,68,left,100.52766586865522
031_2_1.pts,68,right,90.53709825873098
031_2_2.pts,68,left,101.00788548769074
031_2_2.pts,68,right,90.87780115887607
031_3_1.pts,68,left,100.53214928679392
031_3_1.pts,68,right,88.71585872338592
031_3_2.pts,68,left,99.92860487381867
031_3_2.pts,68,right,92.79368966003142
031_4_1.pts,68,left,103.06707360648963
031_4_1.pts,68,right,91.15864180783959
031_4_2.pts,68,left,103.45345807146532
031_4_2.pts,68,right,93.36549689853898
032_1_1.pts,68,left,108.76527033593953
032_1_1.pts,68,right,101.76766853666686
032_1_2.pts,68,left,109.8359642264571
032_1_2.pts,68,right,100.62205250700374
032_2_1.pts,68,left,104.41404301212977
032_2_1.pts,68,right,96.40980203393339
032_2_2.pts,68,left,104.86827309759721
032_2_2.pts,68,right,96.21465206967638
032_3_1.pts,68,left,103.51205867608428
032_3_1.pts,68,right,95.3025700127115
032_3_2.pts,68,left,104.33776705009558
032_3_2.pts,68,right,95.90765652047808
032_4_1.pts,68,left,107.85235635979915
032_4_1.pts,68,right,99.66602196349453
032_4_2.pts,68,left,109.68339658421417
032_4_2.pts,68,right,101.12779940253824
033_1_1.pts,68,left,108.8333287417049
033_1_1.pts,68,right,95.30568386352648
033_1_2.pts,68,left,105.7418775663171
033_1_2.pts,68,right,95.55982298379611
033_2_1.pts,68,left,104.41202810513636
033_2_1.pts,68,right,91.64563287073629
033_2_2.pts,68,left,102.90938542623583
033_2_2.pts,68,right,90.25347834879025
033_3_1.pts,68,left,110.66844051038214
033_3_1.pts,68,right,81.9969036302252
033_3_2.pts,68,left,108.67671040304717
033_3_2.pts,68,right,97.52408160751324
033_4_1.pts,68,left,107.22892269708666
033_4_1.pts,68,right,80.23424295634483
033_4_2.pts,68,left,108.37927481508838
033_4_2.pts,68,right,102.34414441006274
034_1_1.pts,68,left,97.8851948642445
034_1_1.pts,68,right,86.80523282757781
034_1_2.pts,68,left,98.09065693148357
034_1_2.pts,68,right,88.23821666375629
034_2_1.pts,68,left,92.90424103732954
034_2_1.pts,68,right,78.27319869551634
034_2_2.pts,68,left,87.5314615344741
034_2_2.pts,68,right,80.68780379579609
034_3_1.pts,68,left,94.6375538230523
034_3_1.pts,68,right,73.95313868123213
034_3_2.pts,68,left,94.91743030845865
034_3_2.pts,68,right,83.87202607825947
034_4_1.pts,68,left,94.58556650785103
034_4_1.pts,68,right,75.5838341464481
034_4_2.pts,68,left,96.07580158395766
034_4_2.pts,68,right,86.01091279680095
035_1_1.pts,68,left,99.7515861668653
035_1_1.pts,68,right,97.15178812616423
035_1_2.pts,68,left,97.2938959997263
035_1_2.pts,68,right,91.99337177889497
035_2_1.pts,68,left,97.26061542762888
035_2_1.pts,68,right,84.62916847570278
035_2_2.pts,68,left,95.15695858977188
035_2_2.pts,68,right,90.96360035399383
035_3_1.pts,68,left,95.0402187263663
035_3_1.pts,68,right,83.77258934311385
035_3_2.pts,68,left,95.51225922740085
035_3_2.pts,68,right,88.61687317040705
035_4_1.pts,68,left,101.53886531397715
035_4_1.pts,68,right,92.85679511678777
035_4_2.pts,68,left,98.39231454996875
035_4_2.pts,68,right,90.8596841161934
036_1_1.pts,68,left,100.00547630074514
036_1_1.pts,68,right,86.51679221239208
036_1_2.pts,68,left,100.49997601436968
036_1_2.pts,68,right,89.24760501299491
036_2_1.pts,68,left,95.73137575253068
036_2_1.pts,68,right,88.69614626853235
036_2_2.pts,68,left,97.73394224258932
036_2_2.pts,68,right,88.8766286279907
036_3_1.pts,68,left,99.16488168505576
036_3_1.pts,68,right,82.59590824005751
036_3_2.pts,68,left,97.70982172171284
036_3_2.pts,68,right,88.23450288262777
036_4_1.pts,68,left,104.01706306993312
036_4_1.pts,68,right,93.09185002219878
036_4_2.pts,68,left,102.26736137217861
036_4_2.pts,68,right,89.69496821326027
037_1_1.pts,68,left,106.37379796761773
037_1_1.pts,68,right,98.78280849812772
037_1_2.pts,68,left,105.9285962152756
037_1_2.pts,68,right,96.55295439665332
037_2_1.pts,68,left,98.6885591608774
037_2_1.pts,68,right,89.17223534090887
037_2_2.pts,68,left,102.87247810126105
037_2_2.pts,68,right,95.14014210524158
037_3_1.pts,68,left,102.54674575474779
037_3_1.pts,68,right,82.46590624885195
037_3_2.pts,68,left,102.85473246404369
037_3_2.pts,68,right,93.34021286818336
037_4_1.pts,68,left,102.55163543660444
037_4_1.pts,68,right,93.72384823941854
037_4_2.pts,68,left,103.30559150578985
037_4_2.pts,68,right,93.47894697173498
038_1_1.pts,68,left,117.1485536730798
038_1_1.pts,68,right,99.34307485748003
038_1_2.pts,68,left,116.56396045197678
038_1_2.pts,68,right,102.17264515514896
038_2_1.pts,68,left,109.24627664962114
038_2_1.pts,68,right,95.5735031988178
038_2_2.pts,68,left,110.92357242013283
038_2_2.pts,68,right,98.58769949545203
038_3_1.pts,68,left,109.37077286371137
038_3_1.pts,68,right,95.1114590084824
038_3_2.pts,68,left,111.55468828000909
038_3_2.pts,68,right,97.49934817445934
038_4_1.pts,68,left,113.78390695548978
038_4_1.pts,68,right,99.7814619659161
038_4_2.pts,68,left,113.98748853029629
038_4_2.pts,68,right,101.55213410225423
039_1_1.pts,68,left,106.4596651449636
039_1_1.pts,68,right,93.01374863143737
039_1_2.pts,68,left,106.64636284260028
039_1_2.pts,68,right,93.79182869599508
039_2_1.pts,68,left,107.56696095662669
039_2_1.pts,68,right,94.94081474324469
039_2_2.pts,68,left,104.97068315513405
039_2_2.pts,68,right,93.8948827296012
039_3_1.pts,68,left,104.1832896551127
039_3_1.pts,68,right,92.42035578119258
039_3_2.pts,68,left,103.6741480389934
039_3_2.pts,68,right,93.09183051413385
039_4_1.pts,68,left,109.58610887549678
039_4_1.pts,68,right,97.61371375036856
039_4_2.pts,68,left,109.3489230684154
039_4_2.pts,68,right,99.1700750687368
040_1_1.pts,68,left,111.68619349929114
040_1_1.pts,68,right,106.15901073651521
040_1_2.pts,68,left,111.15091807600554
040_1_2.pts,68,right,106.00125162914088
040_2_1.pts,68,left,108.45201509833221
040_2_1.pts,68,right,99.32307294562075
040_2_2.pts,68,left,109.76468043551675
040_2_2.pts,68,right,102.05861931494184
040_3_1.pts,68,left,106.75962496551665
040_3_1.pts,68,right,97.82544123320999
040_3_2.pts,68,left,108.80282496153816
040_3_2.pts,68,right,99.71744691321011
040_4_1.pts,68,left,111.9197532443571
040_4_1.pts,68,right,102.05920027298427
040_4_2.pts,68,left,111.62964403839555
040_4_2.pts,68,right,103.2856666715076
041_1_1.pts,68,left,102.21292545805764
041_1_1.pts,68,right,93.59177944803697
041_1_2.pts,68,left,102.60428922496907
041_1_2.pts,68,right,94.08348082303175
041_2_1.pts,68,left,102.83729319037049
041_2_1.pts,68,right,93.86339914604622
041_2_2.pts,68,left,102.3644772505471
041_2_2.pts,68,right,93.19080028331364
041_3_1.pts,68,left,100.28261585251066
041_3_1.pts,68,right,92.84077847733602
041_3_2.pts,68,left,100.61115297589468
041_3_2.pts,68,right,93.48623769809356
041_4_1.pts,68,left,100.45774622751154
041_4_1.pts,68,right,90.73417337904051
041_4_2.pts,68,left,101.7477401946707
041_4_2.pts,68,right,92.87607544853635
042_1_1.pts,68,left,116.49242531836803
042_1_1.pts,68,right,103.95184585181734
042_1_2.pts,68,left,115.31522350689188
042_1_2.pts,68,right,105.28342031182095
042_2_1.pts,68,left,115.16865594519294
042_2_1.pts,68,right,105.20081239718532
042_2_2.pts,68,left,114.47359759884463
042_2_2.pts,68,right,104.97943277680098
042_3_1.pts,68,left,111.05263378299
042_3_1.pts,68,right,98.72261552929224
042_3_2.pts,68,left,112.8393650903797
042_3_2.pts,68,right,100.94810828410256
042_4_1.pts,68,left,117.68500002608185
042_4_1.pts,68,right,106.44919119571661
042_4_2.pts,68,left,116.01988619784586
042_4_2.pts,68,right,105.35617022180318
043_1_1.pts,68,left,118.84179199278154
043_1_1.pts,68,right,104.33844726897173
043_1_2.pts,68,left,118.56665917556909
043_1_2.pts,68,right,102.12821084766172
043_2_1.pts,68,left,114.97144979056516
043_2_1.pts,68,right,100.09820780849284
043_2_2.pts,68,left,116.38411524153777
043_2_2.pts,68,right,99.74853669909706
